A British officer
A Californian
A. L. O. E.
Aaberg, J. C.
American Can Company. Home Economics Department
American Chemical Society
American Colonization Society
American Concert Orchestra
American Consolidated Mines Company
American Dairy Association
American Face Brick Association
American Institute of Child Life
American Jewish Committee
American Molasses Company
American National Insurance Company
American National Red Cross
American Oil Company
American Public Health Association. Laboratory Section
American Railway Association
American School of Correspondence
American Society of Civil Engineers
American Sunday-School Union
American Thread Company
American Tract Society
American and Foreign Anti-Slavery Society
Ames, A. H.
Ames, Azel
Ames, Joseph Bushnell
Ames, N.
Ames, William
Amfiteatrov, Aleksandr
Amiel, Henri Frédéric
Amir Khusraw Dihlavi
Amman, Johann Conrad
Ammianus Marcellinus
Amoreux, Pierre Joseph
Amorim, Francisco Gomes de
Amory de Langerack, Joséphine
Amory, Charles Bean
Amos, Flora Ross
Amott, Lennox
Amsden, Dora
Amsterdam, Willem van
Amundsen, Roald
Amélineau, E.
An M. D.
An Old Hand
An Old Inhabitant
Anastasi, Peter A.
Anchieta, José de
Ancillon, Charles
Anczyc, Wł. L.
Andersen Nexø, Martin
Andersen, H. C.
Andersen, Kenneth W.
Anderson, Ada Woodruff
Anderson, Andrew A.
Anderson, Austin Thomas
Anderson, Benjamin M.
Anderson, Clair Elmore
Anderson, David Allen
Anderson, Edward L.
Anderson, Elizabeth
Anderson, Ellen L.
Anderson, Frank B.
Anderson, Frederick Irving
Anderson, Galusha
Anderson, George Wood
Anderson, Isabel
Anderson, J. D.
Anderson, Jay
Anderson, John
Anderson, John Alexander
Anderson, John I.
Anderson, Joseph
Anderson, Joseph Jocelyn
Anderson, Karen
Anderson, Kling L.
Anderson, Marilyn D.
Anderson, Martha Lee
Anderson, Mary E.
Anderson, Nels
Anderson, Nephi
Anderson, Osborne P.
Anderson, Paul
Anderson, Poul
Anderson, Rasmus Björn
Anderson, Richard, F.C.S.
Anderson, Robert E., M.A., F.A.S.
Anderson, Robert Gordon
Anderson, Roy K.
Anderson, Rufus
Anderson, Sherwood
Anderson, Sydney
Anderson, Thomas
Anderson, William
Andersson, Charles John
Andersson, Dan
Anderton, Isabella Mary
Anderton, Thomas
Andrade, José Ignacio de
Andreadis, Andreas
Andreas-Salomé, Lou
Andree, Richard
Andrejanoff, Victor von
Andrew, Elizabeth W.
Andrew, Elizabeth Wheeler
Andrews, C.
Andrews, C. C.
Andrews, Charles McLean
Andrews, Clarence Leroy
Andrews, D. S.
Andrews, Elisha Benjamin
Andrews, Elizabeth, F.R.A.I.
Andrews, Gertrude Nelson
Andrews, Irene Osgood
Andrews, Jane
Andrews, John Nevins
Andrews, Leonora de Lima
Andrews, Lincoln C.
Andrews, Mary Raymond Shipman
Andrews, Matthew Page
Andrews, Roy Chapman
Andrews, Silas M.
Andrews, William
Andrews, Yvette Borup
Andreyev, Leonid
Andriessen, P. J.
Andriessen, Suze
André, George G.
Anet, Claude
Anethan, Albert d', Baroness
Angela, of Foligno, Saint
Angelkot, Hermannus
Angell, Norman
Angellier, Auguste
Angellotti, Marion Polk
Angelus Silesius
Angervo, Willie
Anghiera, Pietro Martire d'
Anglada, Charles
Anglade, Joseph
Angyal, Dávid
Aniol, Claude B.
Annandale, Nelson
Annas, Hal
Annesley, Charles
Annet, Peter
Anninos, Bampes
Anrep-Elmpt, Reinhold
Anson, Adrian C.
Anson, George Anson, Baron
Anstey, F.
Anstie, Francis Edmund
Anthes, Otto
Anthony, Piers
Anthony, Wilder
Anti-slavery Convention of American Women
Anti-slavery Society of Meriden, Conn.
Antil, Stephen
Antin, Mary
Antoine, A.
Anton, R.
Antona-Traversi, Camillo
Antonil, André João
Antrobus, Florence Caroline Mathilde Sartoris, Lady
Anttila, Selma
Anvil, Christopher
Anwyl, E.
Anzengruber, Ludwig
Apcar, Diana Agabeg
Apess, William
Apgar, A. C.
Apjohn, Fannie Louise
Apollinaire, Guillaume
Apollonius, Rhodius
Apostol, P. N.
Apostolides, Alex
Appel, Toby A.
Apperson, George Latimer
Appert, Nicolas
Appleton, Everard Jack
Appleton, H. A.
Appleton, Honor C.
Appleton, R. B.
Appleton, Samuel
Appleton, Victor
Appleton, Victor, II
Applin, Arthur
Applin, R. V. K.
Apstein, C.
Apáthy, István
Arago, F.
Aragona, Tullia d'
Aragón, Agustín
Arana Xajilá, Francisco Hernández
Aranda, Emanuel d'
Arantes, Hemetério
Arany, János
Arany, László
Araújo, Joaquim de
Arber, Agnes Robertson
Arbes, Jakub
Arbois de Jubainville, H. d'
Arbuthnot, F. F.
Arbuthnot, George
Arbuthnot, John
Archard, Charles J.
Archer, Effie Archer
Archer, Jean C.
Archer, Jules
Archer, Lee
Archer, Richard
Archer, Thomas
Archer, W. G.
Archer, William
Archibald, James F. J.
Archibald, Joe
Archibald, Raymond Clare
Arcos, René
Ardant du Picq, Charles Jean Jacques Joseph
Ardel, Henri
Arenal de García Carrasco, Concepción
Arentschildt, Alexander Carl Friedrich von
Aretino, Pietro
Argentina. Ministerio de Agricultura
Argyll, John Douglas Sutherland Campbell, Duke of
Aria, Mrs.
Arias, Francisco Gavino de
Arima, Onni W.
Ariosto, Lodovico
Aris, Ernest A.
Arishima, Takeo
Aristotle, pseud.
Arkawy, Norman
Arkell-Hardwick, A.
Arkin, Alan
Arlen, Michael
Arlidge, J. T.
Arlington Co., Va. County Manager
Armando, A.
Armaroli, Leopoldo
Armes, William
Armistead, Wilson
Armitage, Edward
Armitage, Ella Sophia
Armitage, Harold
Armitage, Robert B.
Armitt, Mary L.
Armour, James
Armour, Rebecca Agatha
Armstrong Cork Company
Armstrong, Annie E.
Armstrong, F. C.
Armstrong, G. H.
Armstrong, Henry S.
Armstrong, James
Armstrong, John
Armstrong, Margaret
Armstrong, William H.
Armstrong, William N.
Army War College
Arnault, A.-V.
Arnault, Robert
Arndt, Ernst Moritz
Arndt, Johann
Arndt, Margaret
Arner, George B. Louis
Arniches y Barrera, Carlos
Arnim, Bettina von
Arnim, Ludwig Achim, Freiherr von
Arnold, Allan
Arnold, Anna E.
Arnold, Augusta Foote
Arnold, C. D.
Arnold, Channing
Arnold, Ebenezer
Arnold, Edward Vernon
Arnold, Edwin Lester
Arnold, Edwin, Sir
Arnold, George
Arnold, Gertrude Weld
Arnold, H. F.
Arnold, Hans
Arnold, Henry Harley
Arnold, Hugh
Arnold, Isaac N.
Arnold, Matthew
Arnold, Reginald Harvey
Arnold, Robert
Arnold, Samuel James
Arnold, Sarah Louise
Arnold, Thomas
Arnold, Thomas Walker, Sir
Arnold, Whately C.
Arnold, William B.
Arnoldson, K. P.
Arnot, William
Arnott, Samuel
Arnould, Sophie
Arnoux, Léon
Arpiainen, Wilhelmiina
Arr, Stephen
Arrhenius, Svante
Arriaga, Manuel de
Arriaza, Juan Bautista
Arrighi, Cletto
Arroyo de la Cuesta, Felipe
Arsciwals, Juan Lauro
Arseven, Celâl Esad
Arthington, Maria
Arthur, Anne Knox
Arthur, Chester Alan
Arthur, Frances Browne
Arthur, James
Arthur, Richard
Arthur, Robert
Arthur, T. S.
Arthur, William
Arts and Crafts Exhibition Society
Artsybashev, M.
Artusi, Pellegrino
Arundel, Louis
Arundell of Wardour, John Francis Arundell, Baron
Arvey, M. Dale
Arvidson, Linda
Arvold, Alfred G.
Arwidsson, Adolph Ivar
Arène, Paul
Asakawa, Kan'ichi
Asbjørnsen, Peter Christen
Asbury, Herbert
Ascham, Roger
Asenijeff, Elsa
Asenjo y Arteaga, Federico
Ashbaugh, Ernest J.
Ashby, Richard
Ashby, Wallace
Ashby-Sterry, J.
Ashcraft, Allan Coleman
Ashdown, Charles Henry
Ashe, E. D.
Ashe, Elizabeth
Ashe, Waller
Ashford, Angela
Ashford, Daisy
Ashley, George T.
Ashmole, Elias
Ashmore, Otis
Ashton, John
Ashton, Warren T.
Ashwell, Pauline
Ashworth, Henry
Ashworth, T. R.
Asimov, Isaac
Askew, Alice
Askew, Claude
Askinson, George William
Asnyk, Adam
Asp, Kaarlo
Aspelin, J. R.
Aspelin-Haapkylä, Eliel
Aspinall, James
Asquith, Margot
Asscher, Eva Wilhelmina
Asse, Eugène
Asser, John
Assing, Ludmilla
Assmuss, Eduard Philibert
Association for Promoting the Discovery of the Interior Parts of Africa
Association of Official Agricultural Chemists
Association of the Miraculous Medal
Associação Comercial do Amazonas
Assollant, Alfred
Astell, Mary
Aston, W. G.
Astor, John Jacob
Astor, Nancy Witcher Langhorne Astor, Viscountess
Astronomical Society of the Pacific
Asunta, Heikki
Athanas, Verne
Athanasius, Saint, Patriarch of Alexandria
Athenaeus, of Naucratis
Atherton, Gertrude Franklin Horn
Atherton, William
Atherton, William H.
Atkins, Elizabeth
Atkins, Gaius Glenn
Atkins, J. B.
Atkins, John
Atkins, Smith D.
Atkinson, Eleanor
Atkinson, Frank
Atkinson, George Francis
Atkinson, Henry
Atkinson, Henry A.
Atkinson, J. Beavington
Atkinson, J. J.
Atkinson, Stanley B.
Atkinson, V. T.
Atkinson, William Walker
Atlanta Chamber of Commerce
Atlas Portland Cement Company
Atley, Henry
Atra, Kaarlo
Atteridge, A. Hilliard
Atwater, Caleb
Atwater, Emily Paret
Atwater, John Birdseye
Atwater, Lyman Hotchkiss
Atwell, Benjamin H.
Atwood, Thomas
Atwood, Wallace Walter
Atwood, William Franklin
Aubenas, Joseph-Adolphe
Aubert de Gaspé, Philippe
Aubert, Eugène
Aubrey, Frank
Aubrey, John
Aubry, J.-H.
Auchincloss, W. S.
Auclert, Hubertine
Audibert, J.-F.
Audoux, Marguerite
Audubon, John James
Audubon, John Woodhouse
Auer, Grethe
Auerbach, Berthold
Aughenbaugh, J. E.
Aughey, John H.
Aughinbaugh, William Edmund
Augusta, Clara
Augusti, Brigitte
Augustine, Saint, Bishop of Hippo
Augustus, Emperor of Rome
Aulard, F.-A.
Auld, Samuel James Manson
Auldjo, John
Aulnoy, Madame d'
Aumonier, Stacy
Auriac, J. Berlioz d'
Aurén, Petter Wilhelm
Austen, Jane
Austen, Sidney
Austen-Leigh, James Edward
Austen-Leigh, Richard Arthur
Austen-Leigh, William
Austin, Alfred
Austin, Anne
Austin, Caroline
Austin, Cyril F.
Austin, F. Britten
Austin, Jane G.
Austin, John Mather
Austin, Mary
Austin, Robert
Austin, William E.
Australia. Department of External Affairs
Australia. Queensland. Department of Ports and Harbours
Austrian, Delia
Automatic Toy Works, New York
Auzias-Turenne, Raymond
Avancini, Avancinio
Avary, Myrta Lockett
Aveling, Edward B.
Avery, Harold
Avery, Henry M.
Aveson, Robert
Avilés, José María
Awsiter, John
Axelson, Maximilian
Axiotes, Pan.
Axon, William E. A.
Axtell, Edward
Aycock, Roger D.
Ayer, I. Winslow
Ayer, Joseph Cullen
Aynard, Théodore
Ayres, Alfred
Ayres, Leonard Porter
Ayres, Lucie Levéque
Ayres, May
Ayres, Ruby M.
Ayres, S. G.
Ayrton, Matilda Chaplin
Ayscough, John
Aytoun, William Edmondstoune
Azara, Félix de
Azeglio, Massimo d'
Azevedo, Aluísio
Azevedo, Guilherme Avelino Chave de
Azevedo, Maximiliano de
Azuela, Mariano
Aïdé, Hamilton
Aïssé, C. E.
B. Heller & Co.
B.G. Teubner
Baadsgaard, Anna
Bab, ʻAli Muhammad Shirazi
Babbage, Charles
Babbitt, Ellen C.
Babbitt, George Franklin
Babbitt, Harold E.
Babbitt, Irving
Babcock & Wilcox Company
Babcock, Bernie
Babcock, Charles Almanzo
Babcock, Edwina Stanton
Babcock, Kendric Charles
Babcock, Retta B.
Babcock, William Henry
Babelon, Ernest
Babington, Churchill
Babits, Mihály
Babson, Roger Ward
Babur, Emperor of Hindustan
Baccini, Ida
Bach, Johann Sebastian
Bachelin, Henri
Bacheller, Irving
Bachelor, Joseph M.
Bacher, Julius
Bachman, William Elmer
Bachynskyi, IUliian
Back, E. A.
Backhouse, E., Sir
Backus, W. Elwyn
Bacon, Albion Fellows
Bacon, Alice Mabel
Bacon, Benjamin Wisner
Bacon, David Francis
Bacon, Delia Salter
Bacon, Edward Denny, Sir
Bacon, Edwin M.
Bacon, Francis
Bacon, Frank
Bacon, G. W.
Bacon, George B.
Bacon, Gertrude
Bacon, John M.
Bacon, Josephine Daskam
Bacon, Leonard Woolsey
Bacon, Mary Schell Hoke
Bacon, Roger
Bade, William L.
Baden, Frances Henshaw
Baden-Powell of Gilwell, Robert Stephenson Smyth Baden-Powell, Baron
Baden-Powell, Agnes
Baden-Powell, B. H.
Bader, Clarisse
Bader, Robert N.
Badger, Jos. E.
Badham, David
Badlam, Anna B.
Baekelmans, Lode
Baena, Nuno
Baerlein, Henry
Baeta Neves, Lourenço
Bagar, Robert C.
Bagby, George William
Bagehot, Walter
Bagg, Helen
Baggally, W. W.
Baggs, Charles Michael
Bagley, Clarence
Bagley, William C.
Bagnold, Enid
Bagot, A. G.
Bagot, Richard
Bagshaw, Samuel
Baguenault de Puchesse, Gustave, comte
Bagwell, Richard
Baha'i World Centre
Bahlmann, Paul
Bahr, Hermann
Bahá'í International Community
Bai, Juyi
Bai, Xingjian
Baikie, James
Bailey, Arthur Low
Bailey, Arthur Scott
Bailey, Bernadine
Bailey, Carolyn Sherwin
Bailey, Cyril
Bailey, Florence Merriam
Bailey, H. C.
Bailey, Henry Turner
Bailey, James Blake
Bailey, James Napier
Bailey, John Cann
Bailey, L. H.
Bailey, Marian Elizabeth
Bailey, Roy Rutherford
Bailey, Temple
Bailey, Thomas
Bailey, Washington
Bailey, William Francis
Bailhache, Clement
Baillie, Frederick David
Baillie, Joanna
Baillie, Marianne
Baily, H. Lavinia,
Baily, Peter
Baily, Waldron
Bain, Alexander
Bain, F. W.
Bain, George W.
Baines, Thomas
Bainville, Jacques
Baird, Frank
Baird, G. H.
Baird, Henry Martyn
Baird, James B.
Baird, Jean K.
Baird, Samuel J.
Baird, Spencer Fullerton
Baird, William
Baird, William, F.S.A. Scot.
Bairnsfather, Bruce
Baker, A. R.
Baker, Arthur Latham
Baker, B. Granville
Baker, Benson
Baker, Charles A.
Baker, Charles Whiting
Baker, Cornelia
Baker, Daniel W.
Baker, Elizabeth
Baker, Emilie K.
Baker, Ernest A.
Baker, Francis A.
Baker, George Augustus
Baker, George M.
Baker, George Pierce
Baker, Henry E.
Baker, Ida Strawn
Baker, James H.
Baker, James L.
Baker, Josephine Turck
Baker, Karle Wilson
Baker, La Reine Helen McKenzie
Baker, Olaf
Baker, R. G.
Baker, Ray Stannard
Baker, Rollin H.
Baker, Samuel White, Sir
Baker, Sarah S.
Baker, Thomas
Baker, Virginia
Baker, Wallace E.
Baker, Walter Davis
Baker, Willard F.
Bakewell, Esther
Bakewell, Frederick C.
Baki, Pinhas Refa'el
Baksay, Sándor
Bakunin, Mikhail Aleksandrovich
Balagtas, Francisco
Balaguer, Víctor
Balbo, Cesare, conte
Balch, Edwin Swift
Balch, Frederic Homer
Balch, H. E.
Balch, Thomas
Balch, William Stevens
Balck, W.
Baldaque da Silva, António Arthur
Balde, Jean
Baldridge, Cyrus Leroy
Baldry, A. L.
Baldwin Locomotive Works
Baldwin, A. C.
Baldwin, Charles Sears
Baldwin, Elihu W.
Baldwin, Faith
Baldwin, Gerald R.
Baldwin, Harold
Baldwin, James
Baldwin, James Mark
Baldwin, John D.
Baldwin, Josephine L.
Baldwin, May
Baldwin, Simeon E.
Baldwin, Thomas
Balen, J. Hendrik van
Balen-Klaar, Frederike Swaantje van
Bales, P. G.
Balfour, Arthur James
Balfour, Frances, Lady
Balfour, Francis M.
Balfour, Frederic Henry
Balfour, Grant
Balfour, John Hutton
Ball, Alice A.
Ball, Alice Eliza
Ball, Benjamin West
Ball, C. J.
Ball, Charles
Ball, Eustace Hale
Ball, Francis Kingsley
Ball, Hugo
Ball, James Moores
Ball, John
Ball, Margaret
Ball, Robert S.
Ball, Thomas Hanly
Ball, W. P.
Ball, W. W. Rouse
Ball-Hennings, Emmy
Ballantyne, R. M.
Ballard, Edward
Ballard, Harlan Hoge
Ballard, Robert
Ballou, Hosea
Ballou, Maturin M.
Balluff, George Erhart
Balmer, Edwin
Balmer, Johann Jakob
Balmes, Jaime Luciano
Baltzell, W. J.
Baluyut, Violeta D.
Balyuzi, H. M.
Balzac, Honoré de
Balzani, Ugo
Balázs, Alexander
Balázs, Béla
Balázs, Sándor
Bamford, Mary E.
Bampfylde, C. A.
Ban, Gu
Bancks, Gerard W.
Bancroft, Caroline
Bancroft, Charles
Bancroft, Edith
Bancroft, Elizabeth Davis
Bancroft, George
Bancroft, Hubert Howe
Bancroft, Jane M.
Bancroft, Jessie H.
Bancroft, Squire
Bandarra, Gonçalo Anes
Bandelier, Adolph Francis Alphonse
Bandini, Helen Elliott
Banerjea, S. B.
Banfield, E. J.
Bang, Herman
Bangs, John Kendrick
Bangs, Mary Rogers
Bangs, Outram
Banister, Manly
Banks, G. Linnaeus, Mrs.
Banks, Louis Albert
Banks, Nancy Huston
Banks, Nathan
Banks, Raymond E.
Banks, Richard
Banks, William
Bannerman, Helen
Banning, Margaret Culkin
Banta, Frank
Banting, William
Banville, Théodore Faullain de
Barata, António Francisco
Barbagallo, Corrado
Barbara, Charles
Barbarich, Eugenio
Barbaro, Giosofat
Barbauld, Mrs.
Barbellion, W. N. P.
Barber Asphalt Paving Co.
Barber, H.
Barber, H. L.
Barber, Ida
Barber, J. T.
Barber, Mary D.
Barber, Thomas Walter
Barberá, Joaquín
Barbey d'Aurevilly, J.
Barbey, Frédéric
Barbier, Emile
Barbier, Jules
Barbiera, Raffaello
Barbieri, Gaetano
Barbieri, Ulisse
